                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7297,                 1.7945,                 1.5239,                0.41263,                0.86359,                0.57966,                0.26569,                 1.8355,                 2.6816,                 1.6886,               0.067082,              0.0003325,              0.0003325
                      2,                 1.6401,                 1.5416,                 1.4775,                0.52971,                0.73968,                0.56275,                0.26405,                 1.8176,                 1.7684,                  1.694,               0.034082,             0.00066567,             0.00066567
                      3,                 1.6018,                 1.4423,                 1.4533,                0.56351,                0.78188,                0.60609,                0.29435,                 1.6798,                 1.5976,                 1.6045,              0.0010811,             0.00099819,             0.00099819
                      4,                 1.5794,                 1.3864,                 1.4412,                0.47572,                0.79694,                0.59315,                0.28999,                 1.7214,                 1.7916,                  1.678,              0.0009978,              0.0009978,              0.0009978
                      5,                 1.5678,                 1.3578,                 1.4371,                0.62126,                 0.8227,                0.68106,                0.33808,                 1.6685,                 1.9406,                 1.5929,              0.0009961,              0.0009961,              0.0009961
                      6,                 1.5546,                 1.2963,                 1.4241,                0.59339,                0.82757,                0.64681,                0.31815,                 1.6766,                 1.6671,                 1.5865,             0.00099391,             0.00099391,             0.00099391
                      7,                 1.5491,                 1.2727,                 1.4196,                0.59701,                0.82501,                0.69081,                0.33183,                 1.6872,                 1.3389,                 1.5651,             0.00099123,             0.00099123,             0.00099123
                      8,                 1.5341,                 1.2524,                 1.4097,                0.62254,                0.89077,                0.71851,                0.36706,                 1.6485,                   1.39,                 1.5741,             0.00098808,             0.00098808,             0.00098808
                      9,                  1.529,                 1.2359,                 1.4123,                0.62953,                0.86296,                0.69145,                0.35451,                 1.5873,                  1.239,                 1.5355,             0.00098445,             0.00098445,             0.00098445
                     10,                 1.5095,                 1.2025,                 1.4002,                0.62747,                0.85788,                0.69807,                0.34593,                 1.6735,                 1.4386,                 1.5901,             0.00098035,             0.00098035,             0.00098035
                     11,                 1.5053,                 1.1883,                 1.3921,                0.61431,                0.83397,                0.71154,                0.34035,                 1.6421,                 1.4851,                 1.5673,             0.00097577,             0.00097577,             0.00097577
                     12,                 1.4948,                 1.1735,                 1.3847,                0.66491,                0.78233,                0.75253,                0.39396,                 1.5628,                 1.2023,                 1.5271,             0.00097074,             0.00097074,             0.00097074
                     13,                 1.4924,                 1.1502,                 1.3865,                0.65592,                0.84841,                0.75285,                0.38323,                 1.5824,                 1.2547,                 1.5784,             0.00096524,             0.00096524,             0.00096524
                     14,                 1.4873,                 1.1357,                 1.3882,                0.58429,                 0.8533,                0.72914,                0.36614,                 1.6628,                 1.3698,                 1.5726,             0.00095929,             0.00095929,             0.00095929
                     15,                 1.4929,                 1.1417,                 1.3833,                0.64632,                0.89574,                0.75839,                0.39364,                 1.5811,                 1.2095,                 1.5291,             0.00095289,             0.00095289,             0.00095289
                     16,                  1.469,                 1.1077,                 1.3651,                0.65615,                   0.72,                0.72858,                0.38742,                 1.5552,                 1.3056,                 1.5459,             0.00094605,             0.00094605,             0.00094605
                     17,                 1.4557,                 1.0897,                 1.3632,                0.60853,                0.74944,                0.73452,                0.38296,                 1.5546,                 1.2812,                  1.483,             0.00093877,             0.00093877,             0.00093877
                     18,                 1.4569,                 1.0738,                 1.3579,                0.67155,                0.88478,                0.78308,                0.42245,                 1.4889,                 1.0718,                 1.4496,             0.00093107,             0.00093107,             0.00093107
                     19,                  1.467,                 1.0805,                 1.3681,                 0.7003,                0.91201,                0.79941,                0.40178,                 1.6325,                 1.0079,                 1.5548,             0.00092294,             0.00092294,             0.00092294
                     20,                 1.4509,                 1.0552,                 1.3518,                0.66223,                0.83464,                0.75424,                0.40818,                 1.5626,                 1.1773,                 1.5376,              0.0009144,              0.0009144,              0.0009144
                     21,                 1.4397,                 1.0647,                 1.3523,                0.59516,                0.73075,                0.71696,                 0.3911,                 1.5441,                 1.2531,                 1.4707,             0.00090546,             0.00090546,             0.00090546
                     22,                 1.4412,                 1.0438,                 1.3498,                0.61813,                0.84363,                0.76998,                0.40719,                 1.5458,                 1.2931,                  1.492,             0.00089613,             0.00089613,             0.00089613
                     23,                 1.4441,                 1.0427,                 1.3477,                0.64314,                0.87423,                0.77436,                0.41995,                  1.504,                 1.0115,                 1.4486,              0.0008864,              0.0008864,              0.0008864
                     24,                 1.4371,                 1.0286,                 1.3454,                0.65417,                0.73864,                0.74292,                0.40915,                 1.6018,                 1.0729,                 1.4917,              0.0008763,              0.0008763,              0.0008763
                     25,                 1.4248,                 1.0176,                 1.3432,                0.62882,                0.85088,                 0.7761,                0.42383,                 1.5305,                 1.0972,                 1.4568,             0.00086584,             0.00086584,             0.00086584
                     26,                 1.4245,                 1.0111,                  1.339,                0.64214,                0.88792,                0.78804,                  0.404,                 1.6109,                 1.0085,                 1.4827,             0.00085502,             0.00085502,             0.00085502
                     27,                  1.403,                0.99135,                 1.3231,                0.70541,                0.91764,                0.81017,                0.44871,                 1.5085,                  1.152,                 1.4437,             0.00084385,             0.00084385,             0.00084385
                     28,                 1.4042,                0.97304,                 1.3258,                0.60583,                0.86127,                0.76974,                0.41515,                 1.5462,                  1.036,                 1.4759,             0.00083235,             0.00083235,             0.00083235
                     29,                 1.4091,                0.98349,                 1.3323,                0.66695,                 0.9064,                0.78428,                0.43998,                 1.5027,                0.98249,                 1.4407,             0.00082052,             0.00082052,             0.00082052
                     30,                 1.3907,                0.96736,                 1.3175,                0.65516,                0.90027,                 0.7918,                0.43256,                 1.5717,                0.95123,                 1.4569,             0.00080839,             0.00080839,             0.00080839
                     31,                 1.3985,                 0.9644,                 1.3234,                0.62356,                0.82189,                 0.7629,                0.42809,                 1.4221,                 1.0428,                 1.3778,             0.00079595,             0.00079595,             0.00079595
                     32,                 1.3863,                0.95215,                 1.3175,                0.75284,                0.68829,                0.79001,                0.43677,                 1.4589,                 1.0218,                 1.4056,             0.00078323,             0.00078323,             0.00078323
                     33,                 1.3689,                0.94685,                 1.3114,                 0.6374,                0.91868,                0.80657,                0.43343,                 1.4939,                 1.0523,                 1.4414,             0.00077023,             0.00077023,             0.00077023
                     34,                 1.3785,                0.95243,                 1.3153,                0.65464,                0.82273,                0.77966,                0.42567,                 1.4112,                0.96593,                 1.3886,             0.00075698,             0.00075698,             0.00075698
                     35,                 1.3812,                0.93552,                 1.3091,                0.67499,                0.90925,                0.80379,                0.44792,                 1.4167,                 1.0115,                 1.4179,             0.00074347,             0.00074347,             0.00074347
                     36,                 1.3634,                0.93671,                 1.3028,                0.73983,                0.72724,                0.79349,                0.44702,                 1.4285,                0.92973,                 1.3954,             0.00072973,             0.00072973,             0.00072973
                     37,                 1.3528,                0.92525,                 1.3065,                0.75639,                0.69445,                  0.811,                0.45213,                 1.4084,                0.94383,                 1.3949,             0.00071576,             0.00071576,             0.00071576
                     38,                 1.3556,                 0.9142,                 1.3059,                0.71078,                0.73503,                0.77922,                0.44742,                 1.3823,                0.89279,                 1.3715,             0.00070159,             0.00070159,             0.00070159
                     39,                 1.3468,                0.90583,                 1.2952,                0.65577,                0.87998,                 0.7923,                0.43975,                 1.5307,                0.94361,                 1.4473,             0.00068722,             0.00068722,             0.00068722
                     40,                 1.3492,                0.89385,                 1.3003,                0.69808,                0.75789,                0.78174,                0.44025,                 1.4361,                0.96063,                 1.4155,             0.00067268,             0.00067268,             0.00067268
                     41,                  1.345,                0.89521,                 1.2934,                0.65087,                0.80602,                0.79306,                0.45578,                 1.4299,                0.89298,                 1.3887,             0.00065796,             0.00065796,             0.00065796
                     42,                 1.3243,                0.88233,                 1.2816,                0.74491,                0.69579,                0.79122,                0.45818,                    1.4,                0.89361,                  1.367,              0.0006431,              0.0006431,              0.0006431
                     43,                 1.3304,                0.87365,                 1.2823,                0.58956,                0.86718,                0.78316,                0.44026,                 1.5279,                0.95206,                 1.4263,              0.0006281,              0.0006281,              0.0006281
                     44,                  1.317,                0.86623,                 1.2836,                0.66478,                0.90888,                0.80579,                0.44821,                 1.4881,                0.92548,                 1.4412,             0.00061298,             0.00061298,             0.00061298
                     45,                 1.3258,                0.87471,                 1.2865,                0.62516,                0.88843,                0.76775,                0.44993,                 1.4652,                 1.0186,                 1.4155,             0.00059775,             0.00059775,             0.00059775
                     46,                 1.3172,                0.86506,                  1.275,                 0.6441,                  0.842,                0.80078,                0.45616,                 1.5188,                0.89542,                 1.4323,             0.00058244,             0.00058244,             0.00058244
                     47,                 1.3035,                0.85082,                 1.2705,                0.69356,                0.72304,                0.78373,                 0.4433,                 1.5033,                0.93153,                  1.473,             0.00056704,             0.00056704,             0.00056704
                     48,                 1.3045,                0.85626,                   1.27,                0.66305,                0.81131,                0.78994,                0.46427,                 1.3693,                0.91392,                 1.3493,             0.00055158,             0.00055158,             0.00055158
                     49,                 1.3077,                0.84745,                 1.2748,                0.65164,                0.83259,                0.79136,                0.45899,                 1.4093,                0.86571,                 1.3585,             0.00053608,             0.00053608,             0.00053608
                     50,                 1.2896,                0.84673,                 1.2645,                0.64646,                0.77157,                0.78532,                0.45838,                 1.3212,                0.85711,                 1.3347,             0.00052055,             0.00052055,             0.00052055
                     51,                 1.2831,                0.83115,                 1.2588,                0.62444,                0.89878,                 0.7962,                0.45635,                 1.5004,                0.89493,                  1.413,               0.000505,               0.000505,               0.000505
                     52,                 1.2738,                0.82798,                 1.2524,                0.68836,                0.74821,                0.76981,                 0.4561,                 1.3998,                0.98798,                 1.3539,             0.00048945,             0.00048945,             0.00048945
                     53,                 1.2867,                0.82381,                 1.2557,                0.74885,                0.74664,                0.79789,                0.46729,                 1.3837,                0.88861,                 1.3633,             0.00047392,             0.00047392,             0.00047392
                     54,                 1.2619,                0.82084,                 1.2484,                0.64329,                0.88032,                0.81344,                0.47084,                    1.4,                0.89727,                 1.3936,             0.00045842,             0.00045842,             0.00045842
                     55,                 1.2626,                0.81839,                 1.2459,                0.65042,                0.85657,                0.80498,                0.47933,                 1.3872,                0.88609,                 1.3638,             0.00044296,             0.00044296,             0.00044296
                     56,                  1.256,                0.79941,                 1.2424,                0.70029,                0.78468,                0.80127,                0.46052,                 1.4405,                0.86196,                 1.3832,             0.00042756,             0.00042756,             0.00042756
                     57,                 1.2546,                0.80584,                 1.2426,                0.76935,                0.73425,                0.80768,                0.47936,                 1.3652,                0.84656,                 1.3641,             0.00041225,             0.00041225,             0.00041225
                     58,                 1.2408,                0.78723,                 1.2408,                0.71994,                0.74989,                0.79893,                0.47315,                 1.4557,                0.90362,                 1.3798,             0.00039702,             0.00039702,             0.00039702
